,ResponseId,Q409,eBMRQ_total,BMRQ_total,BMRQ_emotion,BMRQ_sensorimotor,BMRQ_moodreg,BMRQ_musicseek,BMRQ_socialreward,BMRQ_absorption,Gold_total,Gold_activeengagement,Gold_perceptualabilities,Gold_musicaltraining,Gold_singingabilities,Gold_emotion,Gold_musicalsophistication,AIMS_total,PASS_total,PASS_sex,PASS_eating,PASS_touch,PASS_feeling,PASS_sound,PASS_vision,PASS_movement,PASS_temperature,PASS_general,PASS_smell,PASS_noaud,location
225,R_5ikIaEXDYK36hkl,Laurel,112,95,20,18,20,20,17,17,4.783783784,5.333333333,4.888888889,3.333333333,3.857142857,6.333333333,4.222222222,151,2,1,0,1,0,0,0,0,0,0,0,2,boston
226,R_5K1qxLqigt19508,Yanny,82,71,14,15,15,13,14,11,5.189189189,3.333333333,5.555555556,5.666666667,6.285714286,5.666666667,5.055555556,99,11,1,0,4,1,2,0,1,2,0,0,9,boston
227,R_5k6qkXJ30pXiYXm,Laurel,95,82,15,18,19,15,15,13,4.054054054,4,4.111111111,3.666666667,4.142857143,4.333333333,3.888888889,119,14,1,3,0,0,4,0,3,1,0,1,10,boston
228,R_5kH8ZPlKOq0qilr,Laurel,90,77,12,18,17,14,16,13,4.405405405,4.888888889,4.222222222,2.833333333,4.714285714,5.166666667,3.722222222,106,27,1,4,2,0,7,7,2,3,1,0,20,boston
229,R_5mjIQR2UcZBQpDs,Yanny,97,83,15,18,19,16,15,14,4.405405405,4.222222222,5.555555556,1.666666667,4.428571429,5.666666667,4,119,9,1,0,0,0,0,3,1,2,0,1,9,boston
230,R_5n0YoU7ynKVCgLF,Yanny,110,95,20,20,19,19,17,15,5.378378378,6.111111111,6.555555556,2.5,4.571428571,6.333333333,4.333333333,133,19,3,0,2,1,5,2,2,3,0,1,14,boston
231,R_5NUd2r7KnRtnBvP,Yanny,108,91,17,18,20,20,16,17,3.702702703,4.111111111,5,1.333333333,2.428571429,5,2.611111111,118,7,0,0,1,1,3,0,2,0,0,0,4,boston
232,R_5PbwHsu44MkMRCN,Yanny,104,85,13,20,20,16,16,19,3.72972973,1.666666667,6.111111111,1,3.571428571,6.166666667,2.611111111,134,11,1,0,5,0,1,3,1,0,0,0,10,boston
233,R_5plJPl8fHDuSkiV,Laurel,74,63,14,8,15,14,12,11,3.891891892,3.444444444,5.222222222,1.833333333,3.571428571,5,3.166666667,92,22,1,0,8,0,4,0,4,3,1,1,18,boston
234,R_5ql3fFVjw1EdOKp,Yanny,108,91,18,18,20,15,20,17,4.351351351,4,4.555555556,2.5,4.428571429,6.333333333,3.722222222,143,0,0,0,0,0,0,0,0,0,0,0,0,boston
235,R_5QNWyg0NcTuF2SJ,Laurel,112,92,18,18,20,19,17,20,5.675675676,5.333333333,6,5.166666667,5.285714286,6.666666667,5.5,157,3,0,1,0,0,1,0,1,0,0,0,2,boston
236,R_5QVJmCMBV6yy7uh,Yanny,87,71,16,12,18,12,13,16,3.810810811,3.444444444,4.888888889,1.166666667,3.857142857,5.333333333,3,131,11,0,0,5,0,1,1,3,0,0,0,10,boston
237,R_5QWFpiVPWK7RiTC,Yanny,97,80,14,18,16,15,17,17,4.027027027,4,4.333333333,2,4.428571429,5.166666667,3.555555556,135,5,0,1,0,1,2,0,1,0,0,0,3,boston
238,R_5R1vjOlSfgmiAOo,Yanny,66,57,10,11,14,13,9,9,2.72972973,2.555555556,3.666666667,1,2.142857143,4,1.833333333,63,27,1,2,6,0,7,3,3,3,1,1,20,boston
239,R_5R9b33Dt6HA4tqL,Yanny,85,76,16,16,16,12,16,9,4.405405405,3,5.444444444,3,5.142857143,5.5,4,95,22,2,0,3,0,6,2,7,2,0,0,16,boston
240,R_5rGLAEnRAUQxecG,Laurel,84,71,17,13,15,13,13,13,4,4,4.333333333,3.5,4,4,3.722222222,107,31,3,4,2,0,8,5,4,2,1,1,23,boston
241,R_5rZPj0p2gYmit7E,Yanny,88,84,16,20,20,17,11,4,2.783783784,1.666666667,3.111111111,1.166666667,3.857142857,4.333333333,2.055555556,55,18,1,3,5,0,2,3,1,1,0,2,16,boston
242,R_5S979eKxlqchbEQ,Yanny,79,64,11,12,17,13,11,15,3.378378378,3.111111111,4.333333333,2,2.714285714,4.5,2.888888889,116,14,0,0,4,0,3,0,3,2,1,0,11,boston
243,R_5tKKhdFRiwbmiwY,Yanny,78,68,15,12,16,13,12,10,3.540540541,2.777777778,4.222222222,2.333333333,3.714285714,4.666666667,3.055555556,82,25,1,4,4,0,4,4,5,2,0,1,21,boston
244,R_5tRKKtuTTyV7gNb,Laurel,102,83,18,16,19,15,15,19,3.378378378,4.666666667,2.666666667,1.833333333,2,5.666666667,2.555555556,138,16,2,2,3,0,1,3,1,2,0,2,15,boston
245,R_5V7lryLMGEU7Cyr,Yanny,87,75,12,19,16,17,11,12,4.27027027,3.444444444,5.888888889,3,3.571428571,5.166666667,3.555555556,103,18,3,0,4,0,4,2,1,2,0,2,14,boston
246,R_5VDLSFYsqyuBfu9,Laurel,61,56,16,4,12,14,10,5,2.810810811,2.111111111,3.666666667,1.833333333,2.142857143,4.333333333,2.111111111,55,24,2,1,4,0,6,1,6,2,1,1,18,boston
247,R_5WMhwyDt4ChzcO6,Laurel,91,76,17,13,19,14,13,15,4.351351351,3.555555556,5.888888889,1.833333333,4.571428571,5.5,3.777777778,120,11,1,0,2,0,2,2,1,2,0,1,9,boston
248,R_5X7r12zO9u2mY6F,Yanny,93,86,15,19,19,19,14,7,3.783783784,5.111111111,4.222222222,1,2.714285714,5.166666667,2.777777778,67,18,3,0,3,0,1,4,2,3,1,1,17,boston
249,R_5X9l5znULbNONwt,Yanny,81,67,11,16,14,16,10,14,4.567567568,3.777777778,5.555555556,4.5,3.428571429,5.666666667,4.444444444,89,26,1,3,6,1,5,1,4,3,0,2,21,boston
250,R_5Y5pTb9oNCzHq4w,Laurel,86,74,16,15,17,14,12,12,3.837837838,3.555555556,4.222222222,1.333333333,4.428571429,5.5,3,120,12,2,0,5,0,4,0,0,0,0,1,8,boston
251,R_5yqHQ1jKRtAO9MM,Yanny,108,89,18,18,20,14,19,19,5.189189189,5.111111111,6.444444444,3.833333333,3.571428571,6.666666667,4.611111111,152,4,1,0,1,0,1,0,1,0,0,0,3,boston
252,R_60HulPMwmwNMVXT,Laurel,75,61,12,15,15,9,10,14,2.891891892,2.222222222,4.555555556,1,2,4.333333333,1.5,102,18,0,3,1,0,6,3,2,0,1,1,12,boston
253,R_61ReOKmua6rMu1h,Yanny,83,67,19,12,13,5,18,16,3.675675676,1.666666667,5.222222222,2.833333333,4.142857143,4.666666667,3.666666667,93,17,4,0,2,1,1,2,5,2,0,0,16,boston
254,R_61RUqg6n25k0mXX,Yanny,85,69,15,8,20,12,14,16,3.864864865,4.777777778,4.777777778,1,2.714285714,5.333333333,2.888888889,138,15,1,0,6,0,3,0,2,1,1,1,12,boston
255,R_62WTRkdyLZ2un2I,Laurel,112,94,18,18,20,18,20,18,5.27027027,4.555555556,5.777777778,4.5,6.142857143,5.333333333,5.166666667,150,17,3,4,5,0,2,2,1,0,0,0,15,boston
256,R_63dMWvaxNQ6thTe,Yanny,96,82,13,19,20,16,14,14,5.27027027,3.888888889,6.111111111,5.5,5.428571429,5.666666667,5,130,3,2,0,1,0,0,0,0,0,0,0,3,boston
